"","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths"
"Honduras","2 [1-4]","0 [0-1]","0","0","0 [0-1]","5 [2-8]","4 [1-6]","3 [1-5]","5 [2-9]","4 [1-7]","5 [2-8]","7 [3-12]","8 [3-14]","6 [2-9]","7 [3-13]","8 [3-14]","11 [4-20]","12 [4-20]","9 [3-16]","11 [4-19]","15 [6-27]","23 [9-41]"
"India","7 450 [3 270-13 100]","7 316 [3 170-12 900]","7 704 [3 530-13 300]","9 630 [4 430-16 800]","16 285 [7 480-28 500]","22 399 [10 100-39 900]","21 702 [9 930-37 200]","20 130 [9 350-34 600]","16 683 [7 840-28 500]","20 485 [9 590-34 800]","25 663 [12 000-44 400]","30 654 [14 500-53 200]","32 038 [14 500-56 900]","29 850 [13 800-52 100]","27 709 [13 100-47 600]","27 819 [13 200-47 500]","32 539 [15 500-54 000]","31 229 [15 100-51 000]","27 816 [13 600-45 700]","27 176 [13 200-44 900]","28 669 [13 900-46 800]","29 561 [14 300-48 400]"
"Indonesia","1 412 [700-2 160]","1 415 [700-2 170]","1 395 [690-2 140]","1 142 [570-1 730]","1 306 [650-1 990]","1 893 [950-2 900]","1 651 [830-2 530]","1 895 [960-2 900]","2 446 [1 230-3 750]","2 837 [1 440-4 360]","2 875 [1 450-4 410]","3 209 [1 630-4 900]","1 744 [840-2 920]","1 723 [820-2 900]","1 701 [810-2 870]","1 957 [1 010-2 980]","1 647 [840-2 510]","1 367 [710-2 060]","1 615 [770-2 720]","1 593 [760-2 700]","1 572 [760-2 650]","1 550 [750-2 610]"
"Iran (Islamic Republic of)","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","1","1","5","2","2","4"
"Iraq","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kazakhstan","0","0","0","0","0 [0-0]","0 [0-0]","0 [0-0]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenya","12 011 [10 800-14 000]","11 768 [10 600-13 600]","11 298 [10 600-12 400]","11 218 [10 500-12 200]","11 223 [10 600-12 100]","10 733 [10 200-11 400]","10 351 [9 930-10 900]","10 182 [9 810-10 600]","10 058 [9 720-10 400]","10 037 [9 720-10 400]","10 074 [9 760-10 400]","9 788 [9 500-10 100]","9 618 [9 340-9 920]","9 479 [9 200-9 770]","9 541 [9 240-9 850]","9 562 [9 250-9 880]","10 098 [9 750-10 500]","11 285 [10 900-11 700]","12 595 [12 100-13 200]","12 989 [12 500-13 600]","13 118 [12 600-13 700]","11 376 [11 000-11 900]"
"Kyrgyzstan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lao People's Democratic Republic","6 [2-11]","7 [3-12]","11 [5-19]","23 [10-41]","21 [9-36]","32 [15-55]","80 [38-140]","134 [61-230]","125 [55-220]","174 [74-310]","73 [30-130]","109 [45-200]","120 [49-220]","104 [42-200]","115 [46-220]","123 [47-240]","86 [34-160]","100 [40-180]","110 [46-200]","124 [52-220]","152 [66-260]","221 [98-370]"
"Liberia","3 578 [2 690-4 960]","3 931 [2 820-5 620]","3 390 [2 880-4 100]","3 419 [2 960-4 030]","4 046 [3 540-4 690]","3 789 [3 380-4 300]","3 070 [2 790-3 400]","3 315 [3 040-3 640]","2 916 [2 700-3 170]","2 760 [2 570-2 980]","2 813 [2 630-3 020]","2 871 [2 680-3 080]","3 305 [3 090-3 540]","3 525 [3 300-3 770]","3 522 [3 300-3 760]","3 675 [3 440-3 920]","4 062 [3 810-4 330]","4 688 [4 400-5 000]","5 596 [5 240-5 970]","6 352 [5 950-6 780]","6 369 [5 970-6 800]","6 426 [6 020-6 860]"
